	phi
0	0.0
1	0.02454369260617026
2	0.04908738521234052
3	0.07363107781851078
4	0.09817477042468103
5	0.1227184630308513
6	0.14726215563702155
7	0.1718058482431918
8	0.19634954084936207
9	0.22089323345553233
10	0.2454369260617026
11	0.2699806186678728
12	0.2945243112740431
13	0.3190680038802134
14	0.3436116964863836
15	0.36815538909255385
16	0.39269908169872414
17	0.4172427743048944
18	0.44178646691106466
19	0.4663301595172349
20	0.4908738521234052
21	0.5154175447295755
22	0.5399612373357456
23	0.5645049299419159
24	0.5890486225480862
25	0.6135923151542565
26	0.6381360077604268
27	0.662679700366597
28	0.6872233929727672
29	0.7117670855789375
30	0.7363107781851077
31	0.760854470791278
32	0.7853981633974483
33	0.8099418560036186
34	0.8344855486097889
35	0.859029241215959
36	0.8835729338221293
37	0.9081166264282996
38	0.9326603190344698
39	0.9572040116406401
40	0.9817477042468103
41	1.0062913968529805
42	1.030835089459151
43	1.055378782065321
44	1.0799224746714913
45	1.1044661672776617
46	1.1290098598838318
47	1.1535535524900022
48	1.1780972450961724
49	1.2026409377023426
50	1.227184630308513
51	1.2517283229146832
52	1.2762720155208536
53	1.3008157081270237
54	1.325359400733194
55	1.3499030933393643
56	1.3744467859455345
57	1.3989904785517047
58	1.423534171157875
59	1.4480778637640452
60	1.4726215563702154
61	1.4971652489763858
62	1.521708941582556
63	1.5462526341887264
64	1.5707963267948966
65	1.5953400194010667
66	1.6198837120072371
67	1.6444274046134073
68	1.6689710972195777
69	1.6935147898257479
70	1.718058482431918
71	1.7426021750380885
72	1.7671458676442586
73	1.7916895602504288
74	1.8162332528565992
75	1.8407769454627694
76	1.8653206380689396
77	1.88986433067511
78	1.9144080232812801
79	1.9389517158874505
80	1.9634954084936207
81	1.9880391010997909
82	2.012582793705961
83	2.0371264863121317
84	2.061670178918302
85	2.086213871524472
86	2.110757564130642
87	2.1353012567368124
88	2.1598449493429825
89	2.184388641949153
90	2.2089323345553233
91	2.2334760271614935
92	2.2580197197676637
93	2.282563412373834
94	2.3071071049800045
95	2.3316507975861747
96	2.356194490192345
97	2.380738182798515
98	2.405281875404685
99	2.429825568010856
100	2.454369260617026
101	2.478912953223196
102	2.5034566458293663
103	2.5280003384355365
104	2.552544031041707
105	2.5770877236478773
106	2.6016314162540475
107	2.6261751088602177
108	2.650718801466388
109	2.675262494072558
110	2.6998061866787286
111	2.724349879284899
112	2.748893571891069
113	2.773437264497239
114	2.7979809571034093
115	2.82252464970958
116	2.84706834231575
117	2.8716120349219203
118	2.8961557275280905
119	2.9206994201342606
120	2.945243112740431
121	2.9697868053466014
122	2.9943304979527716
123	3.018874190558942
124	3.043417883165112
125	3.067961575771282
126	3.0925052683774528
127	3.117048960983623
128	3.141592653589793
129	3.1661363461959633
130	3.1906800388021335
131	3.215223731408304
132	3.2397674240144743
133	3.2643111166206444
134	3.2888548092268146
135	3.313398501832985
136	3.3379421944391554
137	3.3624858870453256
138	3.3870295796514958
139	3.411573272257666
140	3.436116964863836
141	3.4606606574700063
142	3.485204350076177
143	3.509748042682347
144	3.5342917352885173
145	3.5588354278946874
146	3.5833791205008576
147	3.6079228131070282
148	3.6324665057131984
149	3.6570101983193686
150	3.6815538909255388
151	3.706097583531709
152	3.730641276137879
153	3.7551849687440497
154	3.77972866135022
155	3.80427235395639
156	3.8288160465625602
157	3.8533597391687304
158	3.877903431774901
159	3.902447124381071
160	3.9269908169872414
161	3.9515345095934116
162	3.9760782021995817
163	4.000621894805752
164	4.025165587411922
165	4.049709280018092
166	4.074252972624263
167	4.0987966652304335
168	4.123340357836604
169	4.147884050442774
170	4.172427743048944
171	4.196971435655114
172	4.221515128261284
173	4.246058820867455
174	4.270602513473625
175	4.295146206079795
176	4.319689898685965
177	4.344233591292136
178	4.368777283898306
179	4.3933209765044765
180	4.417864669110647
181	4.442408361716817
182	4.466952054322987
183	4.491495746929157
184	4.516039439535327
185	4.540583132141498
186	4.565126824747668
187	4.589670517353839
188	4.614214209960009
189	4.638757902566179
190	4.663301595172349
191	4.6878452877785195
192	4.71238898038469
193	4.73693267299086
194	4.76147636559703
195	4.7860200582032
196	4.81056375080937
197	4.8351074434155406
198	4.859651136021712
199	4.884194828627882
200	4.908738521234052
201	4.933282213840222
202	4.957825906446392
203	4.9823695990525625
204	5.006913291658733
205	5.031456984264903
206	5.056000676871073
207	5.080544369477243
208	5.105088062083414
209	5.129631754689584
210	5.154175447295755
211	5.178719139901925
212	5.203262832508095
213	5.227806525114265
214	5.252350217720435
215	5.2768939103266055
216	5.301437602932776
217	5.325981295538946
218	5.350524988145116
219	5.375068680751287
220	5.399612373357457
221	5.424156065963627
222	5.448699758569798
223	5.473243451175968
224	5.497787143782138
225	5.522330836388308
226	5.546874528994478
227	5.5714182216006485
228	5.595961914206819
229	5.620505606812989
230	5.64504929941916
231	5.66959299202533
232	5.6941366846315
233	5.71868037723767
234	5.743224069843841
235	5.767767762450011
236	5.792311455056181
237	5.816855147662351
238	5.841398840268521
239	5.8659425328746915
240	5.890486225480862
241	5.915029918087033
242	5.939573610693203
243	5.964117303299373
244	5.988660995905543
245	6.013204688511713
246	6.037748381117884
247	6.062292073724054
248	6.086835766330224
249	6.111379458936394
250	6.135923151542564
251	6.160466844148735
252	6.1850105367549055
253	6.209554229361076
254	6.234097921967246
255	6.258641614573416
256	6.283185307179586
