T	P_model	P_retr
0.0	0.0	188.0058870280404
3e-09	0.0	188.0058870280404
6e-09	0.0	188.0058870280404
9e-09	0.0	188.0058870280404
1.2e-08	0.0	188.0058870280404
1.5e-08	0.0	188.0058870280404
1.8e-08	0.0	188.0058870280404
2.1e-08	0.0	188.0058870280404
2.4e-08	0.0	188.0058870280404
2.7e-08	0.0	188.0058870280404
3e-08	0.0	188.00588702805288
3.3e-08	0.0	188.0058870304173
3.6e-08	0.0	188.00588750088184
3.9e-08	0.0	188.0059439143558
4.2e-08	0.0	188.01003752598402
4.5e-08	0.0	188.19004289126744
4.8e-08	0.0	192.99365393091122
5.1e-08	0.0	270.91255379255404
5.4e-08	534.425210169682	1040.4065089821013
5.7e-08	8530.775715288148	5673.785366620053
6e-08	29176.136503356985	22703.80274683179
6.3e-08	54505.11666562169	60926.465530232184
6.6e-08	113646.05699993276	113237.75753492102
6.9e-08	158576.72946917595	156595.20296691798
7.2e-08	179380.645163534	177718.89584739442
7.5e-08	186622.7569023991	182709.4595695036
7.8e-08	157794.34177001374	181715.42711286686
8.1e-08	189822.77671779165	179483.0499731091
8.4e-08	167320.9957119863	177124.75257396878
8.7e-08	176012.6770633189	174786.1147286456
9e-08	200000.0	172477.88153225696
9.3e-08	177670.25064939822	170200.15020004252
9.6e-08	173663.2553533936	167952.53103802295
9.9e-08	169300.64435735403	165734.62617406767
1.02e-07	158194.6937996329	163546.04277708512
1.05e-07	160499.60260750836	161386.39320718547
1.08e-07	150029.51725986044	159255.29494919896
1.11e-07	140324.0293500275	157152.37054493825
1.14e-07	149047.48660749983	155077.24752634336
1.17e-07	153992.33993205507	153029.55834951054
1.2e-07	133304.14032678612	151008.94032959302
1.23e-07	144878.43467315097	149015.03557656295
1.26e-07	159371.39466498035	147047.49093182187
1.29e-07	154572.60420569166	145105.95790564985
1.32e-07	137701.96869726892	143190.09261548118
1.35e-07	145790.73936901882	141299.55572499617
1.38e-07	144946.7892995157	139434.01238401845
1.41e-07	136762.65681715903	137593.13216920622
1.44e-07	145668.57783276297	135776.58902552834
1.47e-07	119441.62440128041	133984.06120851345
1.5e-07	125977.55314806265	132215.23122726323
1.53e-07	147807.34446088894	130469.78578821829
1.56e-07	133183.29575379402	128747.41573966827
1.59e-07	122609.5668387805	127047.81601699487
1.62e-07	144740.97714939417	125370.68558863938
1.65e-07	131610.5645889283	123715.72740278396
1.68e-07	123185.01006519662	122082.64833473829
1.71e-07	112858.09748732366	120471.15913502144
1.74e-07	103176.97159379562	118880.97437813046
1.77e-07	110392.40991944476	117311.81241198587
1.8e-07	106738.44010499021	115763.39530804583
1.83e-07	112675.39749644144	114235.44881207957
1.86e-07	117487.62099669999	112727.70229559194
1.89e-07	103852.80858583593	111239.88870788967
1.92e-07	111261.67544475281	109771.74452878184
1.9499999999999999e-07	109628.91395422044	108323.00972190523
1.98e-07	111697.20217425663	106893.427688667
2.0099999999999999e-07	96346.81637479294	105482.74522279626
2.04e-07	104143.08178999415	104090.71246549621
2.07e-07	100474.96008302477	102717.08286118957
2.1e-07	100213.14735019972	101361.61311384875
2.13e-07	114363.65312877945	100024.06314390356
2.16e-07	92338.72579976122	98704.1960457185
2.19e-07	95207.25964456348	97401.77804563222
2.22e-07	95995.72335757091	96116.57846055181
2.25e-07	107484.70464950117	94848.36965709436
2.28e-07	89233.71561801243	93596.92701126875
2.31e-07	101475.41242610621	92362.02886869053
2.34e-07	97204.68392344964	91143.45650532255
2.37e-07	76189.96413854486	89940.99408873492
2.4e-07	93812.92305279113	88754.42863987685
2.43e-07	91060.4480917923	87583.54999535401
2.46e-07	87139.02652408014	86428.15077020465
2.49e-07	91349.39301027711	85288.02632116768
2.52e-07	84393.48298429335	84162.97471043651
2.55e-07	81032.3668179906	83052.79666989193
2.58e-07	74013.92828475882	81957.29556580803
2.61e-07	92290.2090304884	80876.27736402448
2.64e-07	92612.2740140945	79809.55059557955
2.67e-07	74221.98704564491	78756.92632279707
2.7e-07	69430.81099594609	77718.21810582216
2.73e-07	83481.3264636999	76693.24196959914
2.76e-07	75010.27841111466	75681.81637128595
2.79e-07	79852.46131382298	74683.76216809948
2.82e-07	65011.462389563334	73698.90258558597
2.85e-07	67132.95557800101	72727.06318631094
2.88e-07	72649.50217253357	71768.07183896293
2.91e-07	65283.52437408394	70821.75868786572
2.94e-07	67328.67227868472	69887.9561228937
2.9699999999999997e-07	61989.26804261009	68966.49874978497
3e-07	74121.92065521223	68057.22336084669
3.03e-07	65184.66386803955	67159.96890604807
3.06e-07	66725.26641819926	66274.57646449526
3.09e-07	63954.66035219776	65400.88921628337
