zx;W_lin;W_cwm
-1.0;0.004649923807062887;0.00719007356685245
-0.9797979797979798;0.005744270122238368;0.00881589820133512
-0.9595959595959596;0.007065625692495071;0.0107623686877452
-0.9393939393939394;0.008653527012003571;0.01308148331596648
-0.9191919191919192;0.010552671901709996;0.015831195086509414
-0.898989898989899;0.01281322557925205;0.019075579661015824
-0.8787878787878788;0.015491064540766757;0.022884892027485056
-0.8585858585858586;0.018647937691573514;0.027335486843810344
-0.8383838383838383;0.022351522461246043;0.032509576788385806
-0.8181818181818181;0.026675352416284655;0.03849480346217927
-0.797979797979798;0.03169859229343625;0.045383596615744336
-0.7777777777777778;0.03750563657370756;0.05327229986452719
-0.7575757575757576;0.04418550885075473;0.062260044727467594
-0.7373737373737373;0.051831041452718205;0.07244735986049142
-0.7171717171717171;0.0605378181646691;0.08393450879205931
-0.696969696969697;0.07040286754618337;0.09681955727663209
-0.6767676767676767;0.08152310027697825;0.11119618046877214
-0.6565656565656566;0.0939934911704503;0.12715123031458347
-0.6363636363636364;0.10790501488502033;0.14476209460733305
-0.6161616161616161;0.12334235378202159;0.1640938907294727
-0.5959595959595959;0.14038140659950207;0.18519654879753403
-0.5757575757575757;0.15908663733408437;0.2081018502670011
-0.5555555555555556;0.17950831457955302;0.2328204985172076
-0.5353535353535352;0.201679702132248;0.2593393069652222
-0.5151515151515151;0.22561427146317858;0.2876185972879741
-0.4949494949494949;0.25130301516826264;0.31758990481820004
-0.4747474747474747;0.27871194722545833;0.349154089626156
-0.4545454545454545;0.30777988031072356;0.38217994978995695
-0.43434343434343425;0.33841657209618137;0.41650342758815595
-0.41414141414141414;0.37050133098665927;0.45192748965276097
-0.3939393939393939;0.4038821668559119;0.4882227484951254
-0.3737373737373737;0.43837556385549536;0.5251288754355993
-0.3535353535353535;0.4737669402660928;0.5623568341925089
-0.33333333333333326;0.509811844781912;0.5995919407658244
-0.31313131313131304;0.5462379198712544;0.6364977295106755
-0.2929292929292928;0.5827476414174059;0.6727205783153261
-0.2727272727272727;0.6190218203511797;0.7078950185802496
-0.2525252525252525;0.6547238272199758;0.7416496293252839
-0.23232323232323226;0.6895044754940807;0.7736133903511996
-0.21212121212121204;0.7230074748655643;0.8034223480529985
-0.19191919191919182;0.7548753428635592;0.8307264302541502
-0.1717171717171716;0.7847556427986669;0.8551962342049887
-0.1515151515151515;0.812307399307981;0.8765296053871832
-0.13131313131313127;0.8372075304433464;0.8944578244896357
-0.11111111111111105;0.859157128019022;0.9087512261133331
-0.09090909090909083;0.8778874163079678;0.9192240853898057
-0.07070707070707061;0.8931652234208534;0.9257386274409656
-0.050505050505050386;0.9047978098446732;0.9282080388702493
-0.030303030303030276;0.9126369144291167;0.9265983894034572
-0.010101010101010055;0.9165818991073399;0.9209294043201087
0.010101010101010166;0.9165818991073399;0.911274063188771
0.030303030303030498;0.9126369144291167;0.8977570362855968
0.05050505050505061;0.9047978098446732;0.8805520055280804
0.07070707070707072;0.8931652234208534;0.8598779504079346
0.09090909090909105;0.8778874163079676;0.8359945099546425
0.11111111111111116;0.8591571280190219;0.809196558047388
0.1313131313131315;0.8372075304433461;0.7798081504601106
0.1515151515151516;0.8123073993079809;0.7481760171568228
0.1717171717171717;0.7847556427986668;0.7146627821077723
0.19191919191919204;0.754875342863559;0.6796400951131774
0.21212121212121215;0.7230074748655642;0.6434818559269931
0.2323232323232325;0.6895044754940802;0.60655770076563
0.2525252525252526;0.6547238272199757;0.5692269057045009
0.27272727272727293;0.6190218203511793;0.5318328413493484
0.29292929292929304;0.5827476414174054;0.4946980895136466
0.31313131313131315;0.5462379198712541;0.45812030653151975
0.3333333333333335;0.5098118447819117;0.4223688904244673
0.3535353535353536;0.4737669402660926;0.38768248154426443
0.3737373737373739;0.438375563855495;0.3542672995947355
0.39393939393939403;0.4038821668559117;0.3222962950439214
0.41414141414141437;0.37050133098665883;0.29190907068248906
0.4343434343434345;0.3384165720961811;0.2632125100994298
0.4545454545454546;0.3077798803107234;0.23628203457960603
0.4747474747474749;0.27871194722545795;0.21116339863420497
0.49494949494949503;0.25130301516826253;0.18787492712098172
0.5151515151515154;0.22561427146317828;0.16641009358848516
0.5353535353535355;0.20167970213224767;0.1467403398262847
0.5555555555555556;0.17950831457955302;0.12881804023434412
0.5757575757575759;0.1590866373340842;0.11257952105620746
0.595959595959596;0.14038140659950193;0.0979480532058349
0.6161616161616164;0.12334235378202135;0.0848367477781323
0.6363636363636365;0.10790501488502022;0.07315129478766409
0.6565656565656568;0.0939934911704502;0.062792497672257
0.6767676767676769;0.08152310027697814;0.05365856811827772
0.696969696969697;0.07040286754618337;0.04564715736595109
0.7171717171717173;0.060537818164669;0.03865711096539666
0.7373737373737375;0.05183104145271816;0.03258994368837443
0.7575757575757578;0.04418550885075465;0.027351039752194377
0.7777777777777779;0.037505636573707514;0.022850590557235862
0.7979797979797982;0.03169859229343618;0.01900428772946031
0.8181818181818183;0.02667535241628461;0.015733793411766582
0.8383838383838385;0.02235152246124602;0.012967012535921092
0.8585858585858588;0.018647937691573472;0.010638193346533969
0.8787878787878789;0.015491064540766743;0.008687882888020672
0.8989898989898992;0.012813225579252028;0.007062763672390685
0.9191919191919193;0.010552671901709988;0.0057153964968619545
0.9393939393939394;0.008653527012003571;0.004603892552336256
0.9595959595959598;0.007065625692495058;0.0036915357253952314
0.9797979797979799;0.005744270122238363;0.0029463735024801052
1.0;0.004649923807062887;0.002340792271936064
